"ZollPosition_Nr";"ZollPosition_Bezeichnung";"VK-Auftrag";"VK";"VK-Position";"KundeName";"Warenempfänger";"A_Adresse";"A_Hausnummer";"Land";"Postleitzahl";"Ort";"EORI_Nr";"Geplanter_Liefertermin";"Geplantes_WE_ Datum";"Gewicht_Einzel";"Gewicht_Total";"Betrag";"MengeTotal";"Währung";"MwSt";"Tour";"VersandLager";"Lagerplatz";"LagerBestand";"Eingelagert";"PA_Status";"ArtikelNr";"ArtikelBezeichnung";"ProduktlinieID";"ProduktlinieBezeichnung";"Projekt";"ProjektArtikel"
"9403.6000";"Holzmöbel";"200005457";"200005457-10";10;"Roca GmbH";"H00000331";"Feincheswiese";"17";"DE";"56424";"Staudt";;30.09.2011 00:00:00;03.10.2011 00:00:00;0.00;0.00;570.50;50.00;"Euro";19;"K2";"200";;;1;5;"SP00099290001";"Möbelfarbmuster Palomba";"990";"SPEZ Möbel";"SP0009929";"0001        "
"9403.9090";"Möbelteile aus Holz";"200005479";"200005479-10";10;"Roca GmbH";"H00000331";"Feincheswiese";"17";"DE";"56424";"Staudt";;07.10.2011 00:00:00;13.10.2011 00:00:00;0.00;0.00;26.15;1.00;"Euro";19;"K2";"200";;;1;5;"2000054794910700 0001";"Ersatzfront Talux";"49";"Talux";"200005479";"4910700 0001"
"9403.6000";"Holzmöbel";"200005480";"200005480-10";10;"Roca GmbH";"H00000331";"Feincheswiese";"17";"DE";"56424";"Staudt";;07.10.2011 00:00:00;13.10.2011 00:00:00;48.00;48.00;76.58;1.00;"Euro";19;"K2";"200";;;1;0;"2000054804910700 0001";"Unterschrank Talux 1160mm";"49";"Talux";"200005480";"4910700 0001"
"7324.9021";"Sanitärartikel";"300009624";"300009624-20";20;"Richter + Frenzel Augsburg";"I00002686";"Akazienweg";"35";"DE";"86169";"Augsburg";;07.02.2011 00:00:00;11.02.2011 00:00:00;0.00;0.00;11.77;1.00;"Euro";19;"P";"200";;;1;0;"890154";"Kleinmengenzuschlag";"980";"Dienstleistungen";"         ";"890154      "
"9403.9090";"Möbelteile aus Holz";"300011420";"300011420-10";10;"Richter + Frenzel Landshut-Ergoldin";"H00000342";"Industriestr.";"18 a";"DE";"84030";"Landshut-Ergolding";"DE-4949692               ";23.09.2011 00:00:00;23.09.2011 00:00:00;8.00;8.00;184.09;1.00;"Euro";19;"R&F";"200";"K34       ";1.00;1;9;"SP00099886010000 0001";"Waschtischplatte KH 800 mm";"60";"Nara";"SP0009988";"6010000 0001"
"9403.6000";"Holzmöbel";"300011420";"300011420-20";20;"Richter + Frenzel Landshut-Ergoldin";"H00000342";"Industriestr.";"18 a";"DE";"84030";"Landshut-Ergolding";"DE-4949692               ";23.09.2011 00:00:00;23.09.2011 00:00:00;64.00;128.00;730.70;2.00;"Euro";19;"R&F";"200";;;1;5;"3000114206131101 0001";"Seitenschrank Noto 450mm";"61";"Noto";"300011420";"6131101 0001"
"9403.6000";"Holzmöbel";"300011420";"300011420-21";21;"Richter + Frenzel Landshut-Ergoldin";"H00000342";"Industriestr.";"18 a";"DE";"84030";"Landshut-Ergolding";"DE-4949692               ";23.09.2011 00:00:00;23.09.2011 00:00:00;64.00;64.00;365.35;1.00;"Euro";19;"R&F";"200";"I005      ";1.00;1;9;"3000114206131202 0001";"Seitenschrank Noto 450mm";"61";"Noto";"300011420";"6131202 0001"
"9403.6000";"Holzmöbel";"300011420";"300011420-30";30;"Richter + Frenzel Landshut-Ergoldin";"H00000342";"Industriestr.";"18 a";"DE";"84030";"Landshut-Ergolding";"DE-4949692               ";23.09.2011 00:00:00;23.09.2011 00:00:00;70.00;70.00;1262.95;1.00;"Euro";19;"R&F";"200";"A000      ";1.00;1;9;"SP00099886120400 0001";"Unterbau Noto 2400mm";"61";"Noto";"SP0009988";"6120400 0001"
"9403.6000";"Holzmöbel";"300011420";"300011420-40";40;"Richter + Frenzel Landshut-Ergoldin";"H00000342";"Industriestr.";"18 a";"DE";"84030";"Landshut-Ergolding";"DE-4949692               ";23.09.2011 00:00:00;23.09.2011 00:00:00;58.00;58.00;1033.43;1.00;"Euro";19;"R&F";"200";"I005      ";1.00;1;9;"SP00099887734000 0001";"Auszugschrank neo.2 225 mm";"77";"neo.2";"SP0009988";"7734000 0001"
"7324.9021";"Sanitärartikel";"300011701";"300011701-10";10;"Richter + Frenzel Erlangen";"H00000339";"Frauenauracherstr.";"75";"DE";"91056";"Erlangen";"DE-4949692               ";29.09.2011 00:00:00;29.09.2011 00:00:00;30.00;30.00;716.58;1.00;"Euro";19;"R&F";"200";;;1;5;"3000117017708500 0001";"77 Glaswaschtisch 120mm";"77";"neo.2";"300011701";"7708500 0001"
"9403.6000";"Holzmöbel";"300011701";"300011701-11";11;"Richter + Frenzel Erlangen";"H00000339";"Frauenauracherstr.";"75";"DE";"91056";"Erlangen";"DE-4949692               ";29.09.2011 00:00:00;29.09.2011 00:00:00;40.00;40.00;535.79;1.00;"Euro";19;"R&F";"200";;;1;0;"3000117017722400 0001";"Unterbau neo.2 1200mm";"77";"neo.2";"300011701";"7722400 0001"
"9403.6000";"Holzmöbel";"300011701";"300011701-12";12;"Richter + Frenzel Erlangen";"H00000339";"Frauenauracherstr.";"75";"DE";"91056";"Erlangen";"DE-4949692               ";29.09.2011 00:00:00;29.09.2011 00:00:00;45.00;45.00;755.65;1.00;"Euro";19;"R&F";"200";;;1;0;"3000117017743601 0001";"Spiegelschrank neo.2 1500mm";"77";"neo.2";"300011701";"7743601 0001"
"9403.6000";"Holzmöbel";"300011938";"300011938-10";10;"Richter + Frenzel Landshut-Ergoldin";"H00000342";"Industriestr.";"18 a";"DE";"84030";"Landshut-Ergolding";"DE-4949692               ";22.09.2011 00:00:00;22.09.2011 00:00:00;0.00;0.00;252.11;1.00;"Euro";19;"R&F";"200";"E001      ";1.00;1;9;"SP00099329420501 0001";"UB Subway 2.0 / Modul X 450 mm";"94";"Subway 2.0 / Modul X";"SP0009932";"9420501 0001"
